NEW YORK CITY DEPARTMENT OF INVESTIGATION,,,,,,,,,,
NEW YORK CITY HOUSING AUTHORITY,,,,,,,,,,
OFFICE OF THE INSPECTOR GENERAL,,,,,,,,,,
,,,,,,,,,,
NYCHA'S SMALL PROCUREMENT 2021,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Procurement Type,Purchase Order Number,Purchase Order Type,Vendor Name,Contract Description,Administering Department,Ship To Location,Borough,PO Total Amount,,
SMALL PURCHASE,2122258,STANDARD,"EIA DATACOM, INC.",EASTCHESTER-REPAIR ELECTRO-MAGNETIC LOCKS FOR 6 BLDGS-(REQ# 1607124),Bronx Property Management,EASTCHESTER-0313,BRONX,"$9,745.07",,
SMALL PURCHASE,2122259,STANDARD,BLUE LABEL CONSTRUCTION CORP,BOSTON SECOR-REPLACE LIGHT BULBS IN 4 COMPACTOR ROOMS-(REQ# 1606694),Bronx Property Management,BOSTON RD-SECOR-0254,BRONX,"$9,893.00",,
SMALL PURCHASE,2122262,STANDARD,HTML CONSTRUCTION CORP,EDENWALD-0214 clearing stoppages and catch basins from roof drains at 3881 and 3885 Baychester Ave **REQ 1606318**,Bronx Property Management,EDENWALD-0214,BRONX,"$4,980.00",,
SMALL PURCHASE,2122263,STANDARD,CITY ZONE GROUP INC.,"FOREST-REMOVE DEBRIS & STOPPAGE FROM BASEMENT IN BLDGS 750, 751 & 905-(REQ# 1605292)",Bronx Property Management,FOREST HOUSES-0535,BRONX,"$9,877.00",,
SMALL PURCHASE,2122264,STANDARD,V.P. CONTRACTORS OF NEW YORK,"BUTLER-REMOVE BROKEN STAIRHALL DOOR GLASS, FRAME ON THE A, B & C SIDE IN BLDG 1348-(REQ# 1607575)",Bronx Property Management,BUTLER-0435,BRONX,"$9,670.00",,
SMALL PURCHASE,2122266,STANDARD,CITY ZONE GROUP INC.,FOREST-MAKE A PARTITION IN ASST MGR OFFICE-(REQ# 1605467),Bronx Property Management,FOREST HOUSES-0535,BRONX,"$4,896.00",,
SMALL PURCHASE,2122268,STANDARD,MALHAN CONSTRUCTION INC.,"GUNHILL-PRESSURE WASH COMPACTORS & COMPACTOR ROOMS & REPAIR CONCRETE IN BLDGS 4, 5, & 6-(REQ# 1607201)",Bronx Property Management,GUN HILL-0579,BRONX,"$9,840.00",,
SMALL PURCHASE,2122274,STANDARD,LAL JI CONSTRUCTION CORP,BX RIVER-REMOVE & INSTALL 1 KITCHEN CABINETS-(REQ# 2122274),Bronx Property Management,BRONX RIVER-0533,BRONX,"$4,965.00",,
SMALL PURCHASE,2122278,STANDARD,ADMIRAL CONSERVATION SERVICES II INC,"ANDREW JACKSON-0243 investigating the area, detecting the leak at 3080 Park Ave **REQ 1607525**",Bronx Property Management,ANDREW JACKSON-0243,BRONX,"$5,850.00",,
SMALL PURCHASE,2122280,STANDARD,RAPTOR BUILDERS INC,"MARBLE HILL-0638 power washing basement at Bldg 11, walls and floor **REQ 1606730**",Bronx Property Management,MARBLE HILL-0638,BRONX,"$7,420.00",,
SMALL PURCHASE,2122282,STANDARD,LAL JI CONSTRUCTION CORP,PELHAM-REMOVE & INSTALL 1 KITCHEN CABINETS-(REQ# 1606693),Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$4,965.00",,
SMALL PURCHASE,2122309,STANDARD,NIKUNJ AGARWAL DBA/NIK RENOVATION INC,"SOTOMAYOR-REPAIR & INSTALL HANDRAIL IN STAIRHALL AREA IN BLDGS 1060, 1744 & 1020-(REQ# 1607580)",Bronx Property Management,SOTOMAYOR HOUSES - 0222,BRONX,"$4,750.00",,
SMALL PURCHASE,2122311,STANDARD,LAL JI CONSTRUCTION CORP,CLAREMONT-REMOVE & INSTALL 1 KITCHEN CABINETS-(REQ# 1606705),Bronx Property Management,CLAREMONT CONSO-0344,BRONX,"$4,965.00",,
SMALL PURCHASE,2122318,STANDARD,J. MONY CONSTRUCTION CORP.,"EDENWALD-0241 installing toilet s, 6 at men's bathroom and 3 at women's, also 2 vanity and 2 mirror glasses **REQ 1606182**",Bronx Property Management,EDENWALD-0214,BRONX,"$4,680.00",,
SMALL PURCHASE,2122319,STANDARD,J. MONY CONSTRUCTION CORP.,"EDENWALD-0214 installing ceramic tiles on the walls 220 sq.ft. and 80 sq.ft. on the floor at the bathroom for ground shop, also 1 vanity, toilet and mirror at 1153 229th Str **REQ 1606212**",Bronx Property Management,EDENWALD-0214,BRONX,"$6,820.00",,
SMALL PURCHASE,2122325,STANDARD,JEET CONSTRUCTION CORP,EDENWALD-0214 REMOVING DEBRIS ON THE ROOD FROM 1961 SCHIEFFLIN AVE AND PATCH 150 SQ.FT. THE TOP OF THE ROOF **REQ 1606307**,Bronx Property Management,EDENWALD-0214,BRONX,"$2,244.00",,
SMALL PURCHASE,2122330,STANDARD,W.W. GRAINGER INC.,"3VE49 FanFrcd Prtbl Oil/Krosne Trpedo Htr,1.6A--Quote #2049654637 NYS #PC67235",Bronx Property Management,GUN HILL-0579,BRONX,"$7,196.70",,
SMALL PURCHASE,2122331,STANDARD,WESTCHESTER SQUARE PLUMBING,"STEAM TEE, SH BLACK NIP, BLACK ELL, GJ BLACK UNION--Quote #008488",Bronx Property Management,CASTLE HILL-0431,BRONX,$886.68,,
SMALL PURCHASE,2122332,STANDARD,CHOUDHARY CONSTRUCTION INC,"PELHAM-REPLACE BATHROOM PARTITIONS & STALL DOORS, TOILETS & SINKS IN BATHROOM NEAR MAINT. AREA-(REQ# 1605868)",Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$9,995.00",,
SMALL PURCHASE,2122336,STANDARD,DIRTY GLOVES DRAIN SERVICES LLC,"CASTLEHILL-CLEAR STOPPAGE, CLEAN & DISINFECT BASEMENT-(REQ# 1608107)",Bronx Property Management,CASTLE HILL-0431,BRONX,"$2,918.75",,
SMALL PURCHASE,2122338,STANDARD,POLO CONSTRUCTION CORP,PELHAM-REMOVE DEBRIS & DISINFECT FRONT OF BASEMENT ENTRANCE @ 840-(REQ# 1605975),Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$9,828.00",,
SMALL PURCHASE,2122345,STANDARD,CITY ZONE GROUP INC.,MORRIS-REPAIR 5 DAMAGED HOPPER DOORS IN BLDG 13-(REQ# 1606383),Bronx Property Management,GOUVERNEUR MORR-0239,BRONX,"$4,948.00",,
SMALL PURCHASE,2122348,STANDARD,JA QUALITY CONSTRUCTION CORPORATION,"EDENWALD-0214 installing 80 x 86 metal door, double panel with a push out door lock at 1150E 229Str **REQ 1606271**",Bronx Property Management,EDENWALD-0214,BRONX,"$4,200.00",,
SMALL PURCHASE,2122351,STANDARD,AMIT CONSTRUCTION CORP.,CLAREMONT-CLEAR STOPPAGE FROM 1228 & 1240-(REQ 1607216),Bronx Property Management,CLAREMONT CONSO-0344,BRONX,"$4,980.00",,
SMALL PURCHASE,2122360,STANDARD,RAPTOR BUILDERS INC,CASTLEHILL-REMOVE GRAFFITI IN STAIRCASE IN BLDGS 2140 & 530-(REQ# 1607552),Bronx Property Management,CASTLE HILL-0431,BRONX,"$4,008.00",,
GOVERMENT LIST,2122362,STANDARD,W.W. GRAINGER INC.,MURPHYSTORERM- QUOTE# 2049681519 PIGGYBACK OGS CONTRACT# PC67235 (300PCS) LAMPS **REQ 1606012**,Bronx Property Management,MURPHYSTORERM,BRONX,"$1,107.00",,
SMALL PURCHASE,2122384,STANDARD,USA NYC CONSTRUCTION CORP,CLASON POINT-0208 cutting grass and weed at various locations at various locations **REQ 1607541**,Bronx Property Management,CLASON POINT-0208,BRONX,"$4,998.00",,
SMALL PURCHASE,2122393,STANDARD,BEST PLUMBING CORP,JOHN MITCHEL-0249 repairing the hopper doors from 10th to 20th floor at 300E 138 Str **REQ 1608294**,Bronx Property Management,JOHN MITCHEL-0249,BRONX,"$9,990.00",,
SMALL PURCHASE,2122395,STANDARD,TRI-STATE PUMP & MOTOR INC.,HP END-SUCTION FEED PUMP--Quote #TPM#10091--PLUMBING AND HEATING.BOILERS/PARTS,Bronx Property Management,EASTCHESTER-0313,BRONX,"$4,900.00",,
SMALL PURCHASE,2122397,STANDARD,"HEATING & BURNER SUPPLY, INC.","3/4"" IN CAM Mitchel Houses--Quote #2112-122283",Bronx Property Management,JOHN MITCHEL-0249,BRONX,"$2,700.00",,
SMALL PURCHASE,2122399,STANDARD,PORCELAIN INDUSTRIES,EASTCHESTER-0313 one bath tub re-glaze at apt 2A at 1236 Burke Ave **REQ 1608184**,Bronx Property Management,EASTCHESTER-0313,BRONX,$485.00,,
SMALL PURCHASE,2122427,STANDARD,"BARRY INDUSTRIES, INC. DBA BARRY SUPPLY CO",BAISLEY PARK-0240- SHOES & PIVOTS **REQ 1607326**,Bronx Property Management,BAISLEY PARK-0240,BRONX,$815.32,,
SMALL PURCHASE,2122434,STANDARD,"PRONTO GAS HEATING SUPPLIES, INC.",Valve 3'' NPT 25 PSID Max--Quote #S1329200-PLUMBING AND HEATING.BOILERS/PARTS--Requisition #1608115,Bronx Property Management,PARKSIDE-0580,BRONX,$532.00,,
SMALL PURCHASE,2122461,STANDARD,"HEATING & BURNER SUPPLY, INC.","MARATHON 7.5 HP MOTOR GT0315, 7.5HP, 3450 RPM, 3 PH, MOTOR--Quote #2112-122818--PLUMBING AND HEATING.BOILERS/PARTS--Requisition #1608507",Bronx Property Management,MILL BROOK-0570,BRONX,"$2,905.00",,
SMALL PURCHASE,2122462,STANDARD,CASTLE HILL ELECTRICAL SUPPLY CO,"galvanized pipe, WATERTIGHT HUB, RIDGID COMP CONN--Quote #1324371--HEATING CMA.HEATING CMA",Bronx Property Management,CASTLE HILL-0431,BRONX,$526.69,,
SMALL PURCHASE,2122466,STANDARD,"NY PLUMBING WHOLESALE & SUPPLY, INC","MAP GAS/PRO, DOUBLE EXPANSION SHIELDS, COPPER CLEVIS HANGER--Quote #030602",Bronx Property Management,UNION AVE E.163-0753,BRONX,"$2,795.39",,
SMALL PURCHASE,2122490,STANDARD,"NY PLUMBING WHOLESALE & SUPPLY, INC","black pipe, set black nipple, Domestic steam 90 elbow 4x10 FT--Quote #030609",Bronx Property Management,PELHAM PARKWAY-0586,BRONX,$910.56,,
SMALL PURCHASE,2122522,STANDARD,DIRTY GLOVES DRAIN SERVICES LLC,"SEDGWICK-CLEAR STOPPAGE, CLEAN & DISINFECT SLOP SINK IN MGMT-(REQ# 1608757)",Bronx Property Management,SEDGWICK-0368,BRONX,"$1,284.25",,
SMALL PURCHASE,2122524,STANDARD,MERCURY PAINT CORP,STRUCTURAL SPRAY,Bronx Property Management,CITYWIDE DEVELOPMENTS,BRONX,$659.84,,
SMALL PURCHASE,2122525,STANDARD,POLO CONSTRUCTION CORP,CASTLEHILL-INSTALL FLOOR TILES IN THE LUNCH ROOM MAINT. AREA IN BLDG 655-(REQ# 1607465),Bronx Property Management,CASTLE HILL-0431,BRONX,"$6,920.00",,
SMALL PURCHASE,2122526,STANDARD,AVLEEN CONSTRUCTION INC,"BUTLER-CLEAN, WASH ENTIRE HALLWAY ON 10TH FL IN BLDG 1458 FIRE JOB-(REQ# 1608772)",Bronx Property Management,BUTLER-0435,BRONX,"$4,880.00",,
SMALL PURCHASE,2122530,STANDARD,KS HARRY CONSTRUCTION CORP,PELHAM-REPAIR 5 DAMAGED METAL LANDING & STEPS IN BLDG 2220-(REQ# 1605988),Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$9,990.00",,
SMALL PURCHASE,2122536,STANDARD,KS HARRY CONSTRUCTION CORP,PELHAM-REPAIR HOLES IN CEILING & WALLS IN BASEMENT AREA @ BLDG 2220-(REQ# 1607829),Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$9,980.00",,
SMALL PURCHASE,2122540,STANDARD,PRINCE BAINS CONSTRUCTION CORP,"MONROE-INSTALL FLOOR TILES IN BLDG 1770 ON THE 9TH, 10TH & 11TH FL-(REQ# 1607725)",Bronx Property Management,JAMES MONROE-0234,BRONX,"$9,499.00",,
SMALL PURCHASE,2122541,STANDARD,PRINCE BAINS CONSTRUCTION CORP,"MONROE-CLEAN OUT SUMP PUMP PIT IN BLDGS 805, 810 & 1770-(REQ# 1607731)",Bronx Property Management,JAMES MONROE-0234,BRONX,"$4,560.00",,
SMALL PURCHASE,2122542,STANDARD,BHUPI CONSTRUCTION INC,PELHAM-REPLACE OLD MEMBRANE & ROOFING PAPER WITH NEW SHEETS @ BLDG 2440-(REQ# 1607234),Bronx Property Management,PELHAM PARKWAY-0586,BRONX,"$9,970.00",,
SMALL PURCHASE,2122543,STANDARD,"STRAWTOWN REPAIRS, LLC",CASTLEHILL-REPLACE & REBUILD MAILBOX DOORS FOR 5 BLDGS-(REQ# 1608807),Bronx Property Management,CASTLE HILL-0431,BRONX,"$4,700.00",,
SMALL PURCHASE,2122545,STANDARD,NCS DEVELOPMENT INC,MORRIS-INSTALL NEW METAL DIAMOND PLATE DOOR WITH FRAME IN TA STORAGE ROOM @ BLDG 1385-(REQ# 1607830),Bronx Property Management,GOUVERNEUR MORR-0239,BRONX,"$9,845.00",,
SMALL PURCHASE,2122577,STANDARD,BEST PLUMBING CORP,"GUN HILL-0579 CLEARING DRAIN STOPPAGES AT TANK ROOM AND GROUND SHOP, ALSO SANITIZING THOSE ROOMS AT 735 MAGENTA STR **REQ 1608861**",Bronx Property Management,GUN HILL-0579,BRONX,"$7,980.00",,
SMALL PURCHASE,2122601,STANDARD,BEST PLUMBING CORP,BUTLER-REMOVE 8 HOPPERS FROM BLDGS 3-(REQ# 1607856),Bronx Property Management,BUTLER-0435,BRONX,"$9,860.00",,
SMALL PURCHASE,2122602,STANDARD,ARROW STEEL INC,MARBLEHILL-INSTALL NEW HYDRAULIC RAM CYLINDER & REPLACE HOSE FOR EXTERIOR COMPACTOR 2-(REQ# 1608595),Bronx Property Management,MARBLE HILL-0638,BRONX,"$3,625.00",,
SMALL PURCHASE,2122606,STANDARD,NCS DEVELOPMENT INC,"M.A.R-CLEAN ALL CANOPIES DRAINAGE OF DEBRIS, TRASH & WASTE @ 7 BLDGS-(REQ# 1608596)",Bronx Property Management,MORRISANIA AIR -0385,BRONX,"$7,975.00",,
SMALL PURCHASE,2122607,STANDARD,"EIA DATACOM, INC.",MURPHY-REPAIR ELECTRO-MAGNETICS LOCKS-(REQ# 1607972),Bronx Property Management,MURPHY CONSOLIDATED-0447,BRONX,"$3,995.84",,
SMALL PURCHASE,2122609,STANDARD,PRINCE BAINS CONSTRUCTION CORP,MONROE-INSTALL HARDWARE FOR 3 BASEMENT DOORS IN 3 BLDGS-(REQ# 1607729),Bronx Property Management,JAMES MONROE-0234,BRONX,"$7,600.00",,
SMALL PURCHASE,2122611,STANDARD,BEST PLUMBING CORP,"MITCHEL-BUTTON UP MO'S IN 5 APTS-BALANCES, GUARDS, COVERS, RECAULK, CLEAN APTS-(REQ# 1608957)",Bronx Property Management,JOHN MITCHEL-0249,BRONX,"$9,965.00",,
SMALL PURCHASE,2122612,STANDARD,BHARTA CONSTRUCTION CORPORATION,ADAMS-REPLACE & REPAIR STEPNOSE IN BLDGS 5 & 6-(REQ# 1608325),Bronx Property Management,JOHN ADAMS-0248,BRONX,"$7,679.00",,
SMALL PURCHASE,2122614,STANDARD,"TOMEX ELECTRONICS, INC.",ADAMS-REPAIR INTERCOM & INSTALL TELEPHONE ENTRY SYSTEM WITH KEYPAD @ 745-(REQ# 1607111),Bronx Property Management,JOHN ADAMS-0248,BRONX,"$9,474.27",,
SMALL PURCHASE,2122616,STANDARD,5 BORO BUILDERS INC,"ADAMS-REMOVE TRASH FROM LAWNS, CUT LAWN, RAKE LEAVES AROUND 4 BLGS-(REQ# 1608356)",Bronx Property Management,JOHN ADAMS-0248,BRONX,"$6,870.00",,
SMALL PURCHASE,2122619,STANDARD,USA NYC CONSTRUCTION CORP,"MARBLEHILL-REMOVE DEBRIS, CLEAN & CLEAR TANK ROOM @ 5240-(REQ# 1608607)",Bronx Property Management,MARBLE HILL-0638,BRONX,"$4,977.00",,
SMALL PURCHASE,2122630,STANDARD,CASTLE HILL ELECTRICAL SUPPLY CO,"SR TRACE PIPE HEATING CABLE 5W/FT, SR TRACE PIPE HEATING CABLE 5W/FT--Quote #1327574",Bronx Property Management,GUN HILL-0579,BRONX,"$5,256.81",,
SMALL PURCHASE,2122633,STANDARD,"AUSTER RUBBER CO., INC.","PLATED HEX BOLT, PLATED HEX NUT, PLATED HEX HEAD BOLT--Quote #472136",Bronx Property Management,THROGGS NECK-0218,BRONX,"$5,085.91",,
SMALL PURCHASE,2122637,STANDARD,MERCURY PAINT CORP,"Paints- Acrylic, stain killer T24 quote 10097677",Bronx Property Management,SOUNDVIEW SC -S537,BRONX,"$2,208.30",,
SMALL PURCHASE,2122639,STANDARD,MERCURY PAINT CORP,"Paint- T24 , Acrylic, stain killer quote 10097676",Bronx Property Management,CASTLE HILL-0431,BRONX,"$3,567.96",,
SMALL PURCHASE,2122645,STANDARD,NCS DEVELOPMENT INC,MORRISANIA AIR -0385 replacing 15 broken ceiling panels aprox. 18 x 24 inch at the management office in 3145 Park and maintenance office in 3073 Park **REQ 1608899**,Bronx Property Management,MORRISANIA AIR -0385,BRONX,"$6,780.00",,
SMALL PURCHASE,2122647,STANDARD,JG NY CONSTRUCTION CORP,MORRISANIA AIR -0385 repairing/installing new motor rolling down gate 10 x 12 for 3025 Park ave **REQ 1608620**,Bronx Property Management,MORRISANIA AIR -0385,BRONX,"$3,165.00",,
SMALL PURCHASE,2122658,STANDARD,SMK CONSTRUCTION INC.,"JAMES MONROE-0234 repairing tripping hazards at Monroe aprox. 510 sq.ft.,**REQ 1609389**",Bronx Property Management,JAMES MONROE-0234,BRONX,"$7,291.00",,
SMALL PURCHASE,2122659,STANDARD,KS HARRY CONSTRUCTION CORP,JAMES MONROE-0234 removing debris in 12 tanks at Bldg from 2 to 13 included **REQ 1608396**,Bronx Property Management,JAMES MONROE-0234,BRONX,"$6,490.00",,
